# Tesla Fleet Entities + Custom Helpers Inventory for "Tesla"
#
# Vehicle: Tesla (Tesla Fleet integration)
# This file is the SINGLE SOURCE OF TRUTH.
# ALWAYS read this file first before creating/modifying any Tesla-related sensors,
# helpers, automations, scripts, or dashboard cards.
#
# Format example:
# entity_id                                      | type           | category          | friendly_name                        | notes / purpose
#
# Last updated: 2026-06-23 (distance/time reliability fixes)
# ============================================================
#
# NOTE ON THE "vehicle_" PREFIX (Fleet Sensor Aliases):
# All entity_ids below starting with sensor.vehicle_* / binary_sensor.vehicle_*
# are NOT raw Tesla Fleet entities. They are dashboard-stability aliases defined
# in configuration.yaml that dynamically read from sensor.<car>_* / binary_
# sensor.<car>_* using input_text.tesla_car_name, so dashboards/automations
# never need editing if the vehicle is renamed. "vehicle_" is a deliberately
# reserved, fixed prefix — DO NOT ever name your actual vehicle "vehicle" in
# input_text.tesla_car_name, or these aliases will read their own state and
# get stuck on "unknown" (see automation "tesla_reserved_car_name_guard" in
# packages/tesla/automations.yaml, which warns if this happens). Any car name
# is otherwise safe, including "tesla", single letters, or numbers ("x", "0", "42").
# ============================================================

# ============================================================
# TESLA FLEET - TESLA VEHICLE ENTITIES
# ============================================================

# --- CHARGING & ENERGY ---
binary_sensor.vehicle_charge_cable                 | binary_sensor | charging          | Charge cable                         | Charge cable connected status
select.tesla_seat_heater_third_row_right         | select        | climate           | Seat heater third row right          | Off / Low / Medium / High
select.tesla_steering_wheel_heater               | select        | climate           | Steering wheel heater                | Steering wheel heater level
select.vehicle_steering_wheel_heater                | select        | climate           | Vehicle Steering Wheel Heater (writable alias) | Template select: forwards state + select_option to select.<car>_steering_wheel_heater dynamically. Used by the Climate tab's steering wheel button so it stays rename-safe.

# --- ACCESS & BODY ---
cover.tesla_charge_port_door                     | cover         | access            | Charge port door                     | (see Charging section)
cover.tesla_froot                                | cover         | access            | Frunk                                | Open/close front trunk (note: entity name "froot")
cover.tesla_trunk                                | cover         | access            | Trunk                                | Open/close rear trunk/tailgate (used by script.tesla_trunk_open)
cover.tesla_windows                              | cover         | access            | Windows                              | Control all windows (vent/close)
binary_sensor.tesla_front_driver_door            | binary_sensor | access            | Front driver door                    | Door open/closed
binary_sensor.tesla_front_driver_window          | binary_sensor | access            | Front driver window                  | Window open/closed
binary_sensor.tesla_front_passenger_door         | binary_sensor | access            | Front passenger door                 | Door open/closed
binary_sensor.tesla_front_passenger_window       | binary_sensor | access            | Front passenger window               | Window open/closed
binary_sensor.tesla_rear_driver_door             | binary_sensor | access            | Rear driver door                     | Door open/closed
binary_sensor.tesla_rear_driver_window           | binary_sensor | access            | Rear driver window                   | Window open/closed
binary_sensor.tesla_rear_passenger_door          | binary_sensor | access            | Rear passenger door                  | Door open/closed
binary_sensor.tesla_rear_passenger_window        | binary_sensor | access            | Rear passenger window                | Window open/closed
binary_sensor.vehicle_any_window_open              | binary_sensor | access            | Any window open                      | Alias: OR of all 4 window sensors above, for rename-safe rain-close automation

# --- SAFETY, SECURITY & SENTRY ---
lock.tesla_lock                                  | lock          | safety            | Lock                                 | Vehicle doors lock/unlock
switch.tesla_sentry_mode                         | switch        | safety            | Sentry mode                          | Sentry mode on/off
binary_sensor.vehicle_status                       | binary_sensor | safety            | Status                               | Main vehicle status / online availability
binary_sensor.tesla_user_present                 | binary_sensor | safety            | User present                         | User detected in/near vehicle
binary_sensor.tesla_dashcam                      | binary_sensor | safety            | Dashcam                              | Dashcam recording status
binary_sensor.vehicle_tyre_pressure_warning_front_left   | binary_sensor | safety      | Tyre pressure warning front left     | Low pressure warning
binary_sensor.vehicle_tyre_pressure_warning_front_right  | binary_sensor | safety      | Tyre pressure warning front right    | Low pressure warning
binary_sensor.vehicle_tyre_pressure_warning_rear_left    | binary_sensor | safety      | Tyre pressure warning rear left      | Low pressure warning
binary_sensor.vehicle_tyre_pressure_warning_rear_right   | binary_sensor | safety      | Tyre pressure warning rear right     | Low pressure warning
sensor.vehicle_tyre_pressure_front_left            | sensor        | safety            | Tyre pressure front left             | Current pressure (bar/psi)
sensor.vehicle_tyre_pressure_front_right           | sensor        | safety            | Tyre pressure front right            | Current pressure (bar/psi)
sensor.vehicle_tyre_pressure_rear_left             | sensor        | safety            | Tyre pressure rear left              | Current pressure (bar/psi)
sensor.vehicle_tyre_pressure_rear_right            | sensor        | safety            | Tyre pressure rear right             | Current pressure (bar/psi)

# --- LOCATION & NAVIGATION ---
device_tracker.tesla_location                    | device_tracker| location          | Location                             | Current GPS location (for zones/automations)
device_tracker.tesla_route                       | device_tracker| location          | Route                                | Active navigation route
sensor.tesla_distance_to_arrival                 | sensor        | location          | Distance to arrival                  | Remaining distance to destination
sensor.tesla_state_of_charge_at_arrival          | sensor        | location          | State of charge at arrival           | Expected SOC upon arrival
sensor.tesla_time_to_arrival                     | sensor        | location          | Time to arrival                      | Estimated time to destination
sensor.tesla_traffic_delay                       | sensor        | location          | Traffic delay                        | Extra time due to traffic

# --- MEDIA & ENTERTAINMENT ---
media_player.tesla_media_player                  | media_player  | media             | Media Player                         | Tesla media player control

# --- MAINTENANCE, DIAGNOSTICS & GENERAL ---
sensor.tesla_estimate_battery_range              | sensor        | vehicle_stats     | Estimate battery range               | Estimated range (ideal?)
sensor.tesla_ideal_battery_range                 | sensor        | vehicle_stats     | Ideal battery range                  | Ideal / rated battery range
sensor.vehicle_ideal_battery_range                  | sensor        | vehicle_stats     | Vehicle Ideal Battery Range           | Alias: reads sensor.<car>_ideal_battery_range dynamically. Used by the Battery tab RANGE card (real ideal range instead of a *0.9 estimate heuristic).
sensor.vehicle_odometer                            | sensor        | vehicle_stats     | Odometer                             | Total distance driven
sensor.vehicle_shift_state                         | sensor        | vehicle_stats     | Shift state                          | Park / Drive / Reverse / Neutral
sensor.vehicle_speed                               | sensor        | vehicle_stats     | Speed                                | Current vehicle speed
sensor.vehicle_battery_level                | sensor        | vehicle_stats     | Usable battery level                 | Current usable State of Charge %
update.tesla_update                              | update        | maintenance       | Update                               | Software / firmware update status
sensor.tesla_fast_charger_type                   | sensor        | charging          | Fast charger type                    | Type of fast charger connected (if any)

# --- ACTION BUTTONS ---
button.tesla_wake                                | button        | action            | Wake                                 | Wake the vehicle from sleep
button.tesla_flash_lights                        | button        | action            | Flash lights                         | Flash exterior lights (locate vehicle)
button.tesla_honk_horn                           | button        | action            | Honk horn                            | Honk the horn
button.tesla_play_fart                           | button        | action            | Fart                                 | Play fart sound (Tesla fun feature)
button.tesla_homelink                            | button        | action            | Homelink                             | Trigger HomeLink (garage door etc.)
button.tesla_keyless_driving                     | button        | action            | Keyless driving                      | Enable keyless driving

# ============================================================
# CUSTOM TEMPLATES, UTILITY METERS & DERIVED STATS
# (These are created/maintained in this project)
# ============================================================

# --- HELPERS ---
input_text.tesla_car_name                       | input_text    | helper            | Tesla Car Name (entity prefix)  | ⚠️ CRITICAL: must match your Tesla Fleet integration's real entity prefix (e.g. "tesla", "x", "0", "42" — anything except "vehicle"). Every vehicle_* alias, script, and automation in this project reads it dynamically. Default: "tesla"
input_text.tesla_model                          | input_text    | helper            | Tesla Model                     | Editable vehicle model name (default: Tesla Model X); shown in footer
input_text.tesla_vin                            | input_text    | helper            | Tesla VIN                       | Editable VIN number (default: 5YJ12345678901234); shown in footer
input_text.tesla_plate                          | input_text    | helper            | Tesla Plate                     | Editable license plate (default: XXYY-123); shown in footer
input_number.tesla_odometer_monthly_baseline    | input_number  | helper            | Tesla Odometer Monthly Baseline | Odometer snapshot on 1st of month for monthly distance template
input_number.tesla_target_charge_limit          | input_number  | helper            | Tesla Target Charge Limit       | Helper slider for planned charge target in automations
input_boolean.tesla_enable_smart_charging       | input_boolean | helper            | Tesla Enable Smart Charging     | Master on/off for the smart-charging automations (tesla_smart_charge_start/stop). When on, charging auto-starts once/day at the configured off-peak window if plugged in and below target %, and auto-stops if the window ends first. At most 1 start + 1 stop per day (no flapping).
input_datetime.tesla_next_departure             | input_datetime| helper            | Tesla Next Departure            | Helper datetime for departure-based automation planning
input_datetime.tesla_smart_charge_window_start  | input_datetime| helper            | Smart Charging Window Start     | Time-only (no date). Start of the daily off-peak charging window used by tesla_smart_charge_start. Default 23:00.
input_datetime.tesla_smart_charge_window_end    | input_datetime| helper            | Smart Charging Window End       | Time-only (no date). End of the daily off-peak charging window used by tesla_smart_charge_stop. Default 06:00. Supports overnight wrap (start > end).

# --- VEHICLE STATS (use Tesla Fleet natively in dashboards) ---
# sensor.vehicle_battery_level              | sensor        | vehicle_stats     | Usable battery level                 | Tesla Fleet — use directly (replaces battery_level template)
# sensor.tesla_estimate_battery_range            | sensor        | vehicle_stats     | Estimate battery range               | Tesla Fleet — use directly (replaces estimated_range template)
# sensor.tesla_ideal_battery_range               | sensor        | vehicle_stats     | Ideal battery range                  | Tesla Fleet — use directly (replaces ideal_range template)
# sensor.vehicle_time_to_full_charge                 | sensor        | charging          | Time to full charge                  | Tesla Fleet — use directly (replaces time_to_full_charge_minutes template)
sensor.tesla_tires_status                        | sensor        | safety            | Tesla Tires Status              | Template: combined tire warning summary (Optimal / Check Tires)

# --- EFFICIENCY (Templates) ---
sensor.tesla_efficiency_kwh_km               | sensor        | efficiency        | Tesla Efficiency kWh/km         | Template: REAL rolling 7-day efficiency (tesla_weekly_drive_energy / tesla_weekly_distance); falls back to 0.228 kWh/km baseline until >5km logged in the last 7 days
sensor.tesla_efficiency_wh_per_km                | sensor        | efficiency        | Tesla Efficiency Wh/km          | Template: efficiency in Wh/km (kWh/km * 1000)
sensor.tesla_electric_cost_per_km                | sensor        | cost_tracking     | Tesla Electric Cost Per KM      | Template: efficiency * input_number.tesla_default_electricity_cost (was hardcoded to 60, now honors the configured rate); unit follows selected currency
sensor.tesla_fuel_cost_per_km                    | sensor        | cost_tracking     | Tesla Fuel Cost per km          | Template: ICE equivalent fuel cost per km (comparison_ice_efficiency @ comparison_fuel_price_per_liter); unit follows selected currency
sensor.tesla_drive_energy_consumed_total         | sensor        | efficiency        | Tesla Drive Energy Consumed Total | Template (device_class energy, state_class total_increasing): wraps input_number.tesla_drive_energy_consumed_total_kwh, an ever-increasing accumulator fed by the tesla_drive_energy_session_start/end automations, which compute REAL energy used per drive from (battery % drop x input_number.tesla_battery_capacity_kwh). Source for the daily/weekly/monthly drive-energy utility meters.

# --- ENERGY TRACKING (Utility Meters + Templates) ---
sensor.tesla_daily_charging_energy               | sensor        | energy_tracking   | Tesla Daily Charging Energy     | Utility meter: daily kWh from charge_energy_added
sensor.tesla_weekly_charging_energy              | sensor        | energy_tracking   | Tesla Weekly Charging Energy    | Utility meter: weekly kWh from charge_energy_added
sensor.tesla_monthly_charging_energy             | sensor        | energy_tracking   | Tesla Monthly Charging Energy   | Utility meter: monthly kWh from charge_energy_added
sensor.tesla_daily_drive_energy                  | sensor        | energy_tracking   | Tesla Daily Drive Energy        | Utility meter: daily kWh from sensor.tesla_drive_energy_consumed_total (real driving consumption, not charging)
sensor.tesla_weekly_drive_energy                 | sensor        | energy_tracking   | Tesla Weekly Drive Energy       | Utility meter: weekly kWh from sensor.tesla_drive_energy_consumed_total; feeds the real efficiency calculation
sensor.tesla_monthly_drive_energy                | sensor        | energy_tracking   | Tesla Monthly Drive Energy      | Utility meter: monthly kWh from sensor.tesla_drive_energy_consumed_total
sensor.tesla_daily_energy_consumed               | sensor        | energy_tracking   | Tesla Daily Energy Consumed     | Template: uses REAL tesla_daily_drive_energy when available (>0), else falls back to estimate (daily_distance * efficiency)
sensor.tesla_monthly_energy_consumed             | sensor        | energy_tracking   | Tesla Monthly Energy Consumed   | Template: uses REAL tesla_monthly_drive_energy when available (>0), else falls back to estimate (monthly_distance * efficiency)

# --- COST TRACKING (Templates) ---
sensor.tesla_currency_symbol                     | sensor        | settings          | Tesla Currency Symbol           | Template: maps input_select.tesla_currency (HUF/EUR/USD/GBP) to its display symbol (Ft/€/$/£); used as the dynamic unit_of_measurement for all cost sensors and in dashboard JS/markdown
sensor.tesla_currency_locale                     | sensor        | settings          | Tesla Currency Locale           | Template: maps input_select.tesla_currency to a JS locale string (e.g. hu-HU) used for number formatting (thousands separators) in the dashboards
sensor.tesla_daily_electric_cost                 | sensor        | cost_tracking     | Tesla Daily Electric Cost       | Template: daily energy * input_number.tesla_default_electricity_cost (now honors the configured rate instead of a hardcoded 60); unit follows selected currency
sensor.tesla_weekly_electric_cost                | sensor        | cost_tracking     | Tesla Weekly Electric Cost      | Template: weekly charging energy * input_number.tesla_default_electricity_cost; unit follows selected currency
sensor.tesla_monthly_electric_cost               | sensor        | cost_tracking     | Tesla Monthly Electric Cost     | Template: monthly energy * input_number.tesla_default_electricity_cost; unit follows selected currency
sensor.tesla_annual_electric_cost                | sensor        | cost_tracking     | Tesla Annual Electric Cost      | Template: monthly electric cost * 12 (projected); unit follows selected currency
sensor.tesla_5year_electric_cost                 | sensor        | cost_tracking     | Tesla 5 Year Electric Cost      | Template: annual electric cost * 5 (projected); unit follows selected currency; default_entity_id set for dashboard match
sensor.tesla_daily_fuel_cost_equivalent          | sensor        | cost_tracking     | Tesla Daily Fuel Cost Equivalent | Template: daily_distance * fuel_cost_per_km
sensor.tesla_weekly_fuel_cost                    | sensor        | cost_tracking     | Tesla Weekly Fuel Cost Equivalent | Template: weekly_distance * fuel_cost_per_km
sensor.tesla_monthly_fuel_cost                   | sensor        | cost_tracking     | Tesla Monthly Fuel Cost Equivalent | Template: monthly_distance * fuel_cost_per_km; default_entity_id set for dashboard match

# --- DISTANCE TRACKING (Templates + baseline helpers) ---
sensor.tesla_daily_distance_raw                  | sensor        | distance          | Tesla Daily Distance Raw        | Utility meter: daily delta from odometer
sensor.tesla_daily_distance                      | sensor        | distance          | Tesla Daily Distance            | Template: rounded daily distance from daily_distance_raw
sensor.tesla_weekly_distance_raw                 | sensor        | distance          | Tesla Weekly Distance Raw       | Utility meter: weekly delta from odometer
sensor.tesla_weekly_distance                     | sensor        | distance          | Tesla Weekly Distance           | Template: rounded weekly distance from weekly_distance_raw. NOTE: this row previously (incorrectly) documented the entity_id as `sensor.tesla_weekly_distance_2` — confirmed via Developer Tools → States (2026-xx-xx) that it registers correctly as `sensor.tesla_weekly_distance` with no suffix collision. All templates/dashboards use this plain name.
sensor.tesla_monthly_distance                    | sensor        | distance          | Tesla Monthly Distance          | Template: odometer minus monthly baseline helper

# --- ACTIVITY / SESSION ANALYTICS ---
binary_sensor.tesla_driving_active               | binary_sensor | activity          | Tesla Driving Active            | Template binary sensor: shift state (D/R/N) with speed fallback when shift is unknown
binary_sensor.tesla_charging_active              | binary_sensor | activity          | Tesla Charging Active           | Template binary sensor: charging or preconditioning
sensor.tesla_driving_time_today_raw              | sensor        | activity          | Tesla Driving Time Today Raw    | History stats time (hours) for driving active today
sensor.tesla_driving_time_7d_raw                 | sensor        | activity          | Tesla Driving Time 7d Raw       | History stats time (hours) for driving active over last 7 days
sensor.tesla_charging_time_today_raw             | sensor        | activity          | Tesla Charging Time Today Raw   | History stats time (hours) for charging active today
sensor.tesla_charging_time_7d_raw                | sensor        | activity          | Tesla Charging Time 7d Raw      | History stats time (hours) for charging active over last 7 days
sensor.tesla_charging_time_3d_raw                | sensor        | activity          | Tesla Charging Time 3d Raw      | History stats time (hours) used for no-charge anomaly check
sensor.tesla_driving_time_today                  | sensor        | activity          | Tesla Driving Time Today        | Template: converted to minutes from history stats raw sensor
sensor.tesla_driving_time_7d                     | sensor        | activity          | Tesla Driving Time 7d           | Template: converted to minutes from history stats raw sensor
sensor.tesla_charging_time_today                 | sensor        | activity          | Tesla Charging Time Today       | Template: converted to minutes from history stats raw sensor
sensor.tesla_charging_time_7d                    | sensor        | activity          | Tesla Charging Time 7d          | Template: converted to minutes from history stats raw sensor
sensor.tesla_drive_sessions_today                | sensor        | activity          | Tesla Drive Sessions Today      | History stats count of driving sessions today
sensor.tesla_drive_sessions_7d                   | sensor        | activity          | Tesla Drive Sessions 7d         | History stats count of driving sessions over last 7 days
sensor.tesla_charge_sessions_today               | sensor        | activity          | Tesla Charge Sessions Today     | History stats count of charging sessions today
sensor.tesla_charge_sessions_7d                  | sensor        | activity          | Tesla Charge Sessions 7d        | History stats count of charging sessions over last 7 days
sensor.tesla_distance_per_drive_session_today    | sensor        | activity          | Tesla Distance per Drive Session Today | Template: daily distance divided by drive sessions today
sensor.tesla_energy_per_charge_session_today     | sensor        | activity          | Tesla Energy per Charge Session Today | Template: daily charging energy divided by charge sessions today
binary_sensor.tesla_anomaly_no_charge_3d         | binary_sensor | anomaly           | Tesla Anomaly No Charge 3d      | True when no charging in last 3 days while weekly driving distance is significant
binary_sensor.tesla_anomaly_high_daily_cost      | binary_sensor | anomaly           | Tesla Anomaly High Daily Cost   | True when today's charging cost is much higher than weekly average

# ============================================================
# NOTES & MAINTENANCE RULES
# ============================================================
#
# 1. This vehicle uses the official Tesla Fleet integration.
# 2. Entity prefix for this car = "tesla_"
# 3. No Powerwall / Solar / Energy Site entities are currently present (vehicle only).
# 4. Many useful derived statistics already exist as Templates (especially cost & efficiency tracking).
# 5. When adding NEW helpers/templates:
#    - Add them to the "CUSTOM TEMPLATES..." section above.
#    - Give them clear friendly_names starting with "Tesla ..." or "Tesla ...".
#    - Set proper device_class, state_class, unit_of_measurement, and unique_id.
# 6. Common useful additions you might want:
#    - Use sensor.vehicle_battery_level directly (no template wrapper needed)
#    - sensor.tesla_remaining_range (template combining usable_battery_level + ideal_battery_range)
#    - input_number.tesla_target_charge_limit (user-friendly slider for charge limit)
#    - binary_sensor.tesla_is_home (based on device_tracker + zone)
#    - script.tesla_precondition_departure
#    - [DONE] Smart charging: input_boolean.tesla_enable_smart_charging +
#      input_datetime.tesla_smart_charge_window_start/_end, consumed by
#      automations tesla_smart_charge_start / tesla_smart_charge_stop in
#      packages/tesla/automations.yaml (at most 1 start + 1 stop per day,
#      no flapping; syncs the vehicle's own charge limit as a safety net).
# 7. "froot" entity = Frunk (front trunk). Keep the original entity_id.

# ============================================================
# CUSTOM HELPERS - PHASE 1 (2026-06-23)
# ============================================================

input_number.tesla_default_electricity_cost            | input_number  | settings          | Default Electricity Cost             | Default grid rate for cost calculations (per kWh, in whatever currency you select). Used in cost templates. Default: 60.0
input_number.comparison_ice_efficiency                 | input_number  | settings          | ICE Fuel Efficiency (Comparison)     | Baseline ICE fuel consumption for cost comparison (L/100km). Default: 6.5
input_number.comparison_fuel_price_per_liter           | input_number  | settings          | Fuel Price per Litre                 | Current fuel market price for comparison calculations (per litre, in whatever currency you select). Default: 595.0
input_select.tesla_currency                            | input_select  | settings          | Tesla Currency                       | Currency used for all cost calculations/display (HUF/EUR/USD/GBP). Default: HUF. Drives sensor.tesla_currency_symbol and sensor.tesla_currency_locale. Editable from the Analytics → Settings tab.
input_number.tesla_battery_capacity_kwh                | input_number  | settings          | Tesla Battery Capacity               | Usable pack capacity (kWh) used to convert battery % drop into real kWh consumed while driving. Set this to your vehicle's actual capacity for accurate efficiency numbers. Default: 100.0
input_number.tesla_drive_start_battery_pct             | input_number  | internal          | Tesla Drive Start Battery %          | Internal: battery % snapshot captured at the start of each drive (see automations.yaml). Not meant for dashboards.
input_number.tesla_drive_start_odometer                | input_number  | internal          | Tesla Drive Start Odometer           | Internal: odometer snapshot captured at the start of each drive (see automations.yaml). Not meant for dashboards.
input_number.tesla_drive_energy_consumed_total_kwh     | input_number  | internal          | Tesla Drive Energy Consumed Total    | Internal: lifetime accumulator of real energy consumed while driving, incremented by tesla_drive_energy_session_end automation. Wrapped by sensor.tesla_drive_energy_consumed_total for utility_meter/statistics use.

# --- Saved Location Rates (editable via Analytics -> Settings tab) ---
# Informational/manual rate profiles per location. NOTE: cost calculations
# still use the single flat input_number.tesla_default_electricity_cost —
# these are for documentation/reference only until location-aware rate
# switching is implemented.
input_number.tesla_rate_home_per_kwh                   | input_number  | settings          | Home Rate                            | Manual rate for the "Home" saved location card (per kWh, selected currency). Default: 60.0
input_text.tesla_rate_home_name                        | input_text    | settings          | Home Location Name                   | Display name for the "Home" saved location card. Default: "Home (123 Main St)"
input_text.tesla_rate_home_hours                       | input_text    | settings          | Home Rate Hours                      | Free-text active hours shown on the "Home" saved location card. Default: "00:00 – 00:00 (24/7)"
input_text.tesla_rate_home_days                        | input_text    | settings          | Home Rate Active Days                | Free-text active days shown on the "Home" saved location card. Default: "Mon–Sun"
input_text.tesla_rate_home_season                      | input_text    | settings          | Home Rate Season                     | Free-text active season shown on the "Home" saved location card. Default: "Jan–Dec"
input_number.tesla_rate_solar_per_kwh                  | input_number  | settings          | Solar / Off-Peak Rate                | Manual rate for the "Solar / Off-Peak" saved location card (per kWh, selected currency). Default: 0.0
input_text.tesla_rate_solar_name                       | input_text    | settings          | Solar/Off-Peak Location Name         | Display name for the "Solar / Off-Peak" saved location card. Default: "Solar / Off-Peak (Seasonal)"
input_text.tesla_rate_solar_hours                      | input_text    | settings          | Solar/Off-Peak Rate Hours            | Free-text active hours shown on the "Solar / Off-Peak" saved location card. Default: "10:00 – 14:00"
input_text.tesla_rate_solar_days                       | input_text    | settings          | Solar/Off-Peak Active Days           | Free-text active days shown on the "Solar / Off-Peak" saved location card. Default: "Mon–Sun"
input_text.tesla_rate_solar_season                     | input_text    | settings          | Solar/Off-Peak Season                | Free-text active season shown on the "Solar / Off-Peak" saved location card. Default: "May–Sep"
input_number.tesla_rate_work_per_kwh                   | input_number  | settings          | Work Rate                            | Manual rate for the "Work" saved location card (per kWh, selected currency). Default: 75.0
input_text.tesla_rate_work_name                        | input_text    | settings          | Work Location Name                   | Display name for the "Work" saved location card. Default: "Work (456 Office Ave)"
input_text.tesla_rate_work_hours                       | input_text    | settings          | Work Rate Hours                      | Free-text active hours shown on the "Work" saved location card. Default: "06:00 – 18:00"
input_text.tesla_rate_work_days                        | input_text    | settings          | Work Rate Active Days                | Free-text active days shown on the "Work" saved location card. Default: "Mon–Fri"
input_text.tesla_rate_work_season                      | input_text    | settings          | Work Rate Season                     | Free-text active season shown on the "Work" saved location card. Default: "Jan–Dec"

# ============================================================
# TESLAMATE INTEGRATION - PHASE 4 (PLANNED)
# ============================================================
#
# Status: NOT YET IMPLEMENTED
# TeslaMate provides rich per-session data (Drive, Charge, Idle logs) + Grafana dashboards.
# Requires Docker stack: teslamate + postgres + mosquitto + grafana
# Once running, will auto-discover MQTT sensors below via Home Assistant MQTT integration.
#
# Expected MQTT Topic Structure (published by TeslaMate):
#   teslamate/cars/1/...
#
# Key Sensors (to be auto-discovered after setup):
#   sensor.teslamate_cars_1_battery              | Battery State of Charge (%)
#   sensor.teslamate_cars_1_position             | GPS latitude/longitude
#   sensor.teslamate_cars_1_speed                | Vehicle speed (km/h)
#   sensor.teslamate_cars_1_status               | Status (charging/driving/parked/offline)
#   sensor.teslamate_cars_1_state_of_charge      | State of Charge (alternative)
#   sensor.teslamate_cars_1_odometer             | Odometer (km)
#   sensor.teslamate_cars_1_version              | Firmware version
#   sensor.teslamate_cars_1_display_name         | Vehicle display name
#
# Historical Entities (via Grafana iFrames):
#   Grafana Dashboard: Drives (per-session drive logs)
#   Grafana Dashboard: Charges (per-session charge logs)
#   Grafana Dashboard: Idles (per-session idle/standby logs)
#   Grafana Dashboard: Overview (macro statistics)
#
# Setup Instructions:
#   1. Review docker-compose.yml + .env file
